loss,penalty,lambda,probability,sample_complexity,V,m,q,b,test_error,train_loss
square,l1,0.01,0.5,1.3524489795918369,2.246159334010695,0.8471276753718509,0.38571698924940007,0.0,0.0862837255933186,0.01941091242803879
square,l1,0.01,0.5,1.4134693877551021,1.9933419937226948,0.8480661222371821,0.362526244161568,0.0,0.07949002796582572,0.02151819215070416
square,l1,0.01,0.5,1.4744897959183674,1.7888332361902943,0.8488352711185962,0.3424709350955213,0.0,0.07346244345705953,0.02348553162810552
square,l1,0.01,0.5,1.5355102040816326,1.6206507500253327,0.8494777171705069,0.3251177694687896,0.0,0.06813676086789026,0.025319185387397244
square,l1,0.01,0.5,1.5965306122448981,1.4802772063576146,0.850022949942833,0.31004758814408706,0.0,0.06343409542455271,0.027028028706058804
square,l1,0.01,0.5,1.6575510204081634,1.3615621985380204,0.8504919550412492,0.29689282106495085,0.0,0.0592756748423019,0.028621736543866235
square,l1,0.01,0.5,1.7185714285714286,1.259987655378389,0.8509000477425265,0.28534432552612826,0.0,0.055589084829931114,0.030109883448586276
square,l1,0.01,0.5,1.779591836734694,1.1721776586431019,0.8512586607529432,0.27514678797829184,0.0,0.0523103615925839,0.03150152169477557
square,l1,0.01,0.5,1.8406122448979594,1.0955685457896216,0.8515765017916478,0.2660907778887691,0.0,0.04938415990601942,0.03280500736200486
square,l1,0.01,0.5,1.9016326530612246,1.0281838859925114,0.85186032240296,0.2580046423323345,0.0,0.046763098566088325,0.0340279534719179
square,l1,0.01,0.5,1.96265306122449,0.9684786181466292,0.8521154409170711,0.25074734999173653,0.0,0.04440681692609395,0.03517724651462774
square,l1,0.01,0.5,2.023673469387755,0.9152293741995732,0.8523461061285872,0.24420254192339924,0.0,0.04228099199332481,0.036259092778120984
square,l1,0.01,0.5,2.0846938775510204,0.867456097205857,0.852555755370333,0.23827372208511327,0.0,0.04035642428902595,0.03727907657881313
square,l1,0.01,0.5,2.1457142857142855,0.8243651861169385,0.8527472010586414,0.23288041973211565,0.0,0.0386082321229989,0.038242221139271795
square,l1,0.01,0.5,2.206734693877551,0.7853076708112039,0.8529227678235222,0.22795514301228,0.0,0.03701516141748268,0.03915304750923308
